"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
DF-186,Contract,"MINISTRY OF DEFENCE",Open,2024-09-09T12:39:54+01:00,"MOD Data Framework","This Procurement will establish a framework of multiple suppliers for the purchasing of supplier data.

The authority requires the purchase of data, in support of its Supply Chain Management, Development and Resilience activities. 
tender_467305/1409970,Pipeline,"Ministry of Defence",Open,2024-10-01T08:48:56+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 32118.01 Logistics and Security","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Site establishment:
-	Supply, installation and management of site gates
-	Supply and install of site hoarding and crowd barriers/ traffic management on site.
-	Provision of an online delivery management system for the site.
-	Traffic management including escort vehicles.
-	Gatemen to all sites, general waste operatives, site handyman, full time cleaners, forklifts drivers and banksmen, supply and management of site skips and bins.  Full time site security.",,"ST18 0AQ","West Midlands","79714000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,542225,,,,,,,," ",
tender_467302/1409967,Pipeline,"Ministry of Defence",Open,2024-10-01T08:30:09+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 43051.01 Lifts","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Manufacture, provision and installation of 3nr lifts and ancillary works within new build and refurbishment assets.",,"ST18 0AQ","West Midlands","45313100 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,139050,,,,,,,," ",
tender_467295/1409960,Pipeline,"Ministry of Defence",Open,2024-10-01T07:45:36+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 40014.01 General Builder","* Please provide a detailed description of the notice you are adding: 
Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Multiple works including refurbishment and new build.",,"ST18 0AQ","West Midlands","45113000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,5783830,,,,,,,," ",
tender_467294/1409957,Pipeline,"Ministry of Defence",Open,2024-10-01T07:27:36+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 40030.01 Foundations & Substructures","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope
Construction of foundations (Strip foundations and Pad foundations) and ground floor slab with associated ancillary works to a MUGA pitch, 2nr Single Living Accommodation blocks, 2nr office buildings and 2nr other use buildings.
Earthworks associated with new build assets including retaining walls.",,"ST18 0AQ","West Midlands","45262210 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,3083036,,,,,,,," ",
tender_467241/1409873,Pipeline,"Ministry of Defence",Open,2024-09-30T15:39:58+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41153.01 Window and External Doors","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Provision and installation of interior and exterior windows and doors to new build assets and refurbishment assets.",,"ST18 0AQ","West Midlands","45421100 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,119995,,,,,,,," ",
tender_467232/1409862,Pipeline,"Ministry of Defence",Open,2024-09-30T15:25:43+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41131.01 Structural Steel","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Fabrication and erection of all structural steel buildings, both frame - primary and secondary steel including all bracing to roof / walls, anti-sag rods, cleats etc 
Supply and installation of profile metal decking.
Structural steelwork buildings frame incorporating columns, above ground floor level, beams and troughed metal decking for composite floor slabs. Supply and install precast concrete stairs. Supply and install of all edge protection. Supply and install of all riser grids.",,"ST18 0AQ","West Midlands","45223210 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,200000,,,,,,,," ",
tender_467224/1409854,Pipeline,"Ministry of Defence",Open,2024-09-30T15:13:15+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41131.01 Steel Mezzanines","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Fabrication and erection of all steel mezzanine floors within refurbishment buildings.",,"ST18 0AQ","West Midlands","45262410 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,200000,,,,,,,," ",
tender_467217/1409844,Pipeline,"Ministry of Defence",Open,2024-09-30T14:58:48+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 32115.01 Soft Strip and Alterations","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope
Soft strip to buildings prior to refurbishment works of works",,"ST18 0AQ","West Midlands","45262700 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,719885,,,,,,,," ",
tender_467196/1409828,Pipeline,"Ministry of Defence",Open,2024-09-30T14:38:30+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 30013.01 Site Accommodation","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
The design, supply, installation, management, maintenance and removal of temporary site welfare units in various locations for the project.",,"ST18 0AQ","West Midlands","98341000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,1000000,,,,,,,," ",
tender_467187/1409806,Pipeline,"Ministry of Defence",Open,2024-09-30T14:20:10+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41012.01 Precast Concrete","* Please provide a detailed description of the notice you are adding: 
Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope
The PCC scope of works is primarily for the procurement, fabrication, supply, storage, transport, delivery to site, off-loading, distribution, surveying and setting out, installation, supervision and inspection of all pre-cast concrete (PCC) buildings.
The works shall include all materials, components, fixings, fittings and finishes together with all associated engineering, labour, plant, equipment, supervision, scaffolding (if required)/edge protection, access equipment, and any other elements required to carry out the works in coordination with other Project stakeholders, subcontractors and suppliers.
PCC columns, Core walls, stairs and landings to stair cores, roof slabs.
PCC Lift shaft, allow for cast-in free issue items from lift manufacturer",,"ST18 0AQ","West Midlands","45262300 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,821811,,,,,,,," ",
tender_467180/1409788,Pipeline,"Ministry of Defence",Open,2024-09-30T13:58:37+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 44011.01 External Works","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Provision of earthworks for new build assets and hard standings including hard landscaping. Service diversions and enabling works across the site in preparation for construction works for new builds and hard standings.",,"ST18 0AQ","West Midlands","45111240 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,5783830,,,,,,,," ",
tender_467162/1409763,Pipeline,"Ministry of Defence",Open,2024-09-30T13:40:02+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 42071.01 Drylining","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
The supply and installation of drywall and ceiling elements to new build and refurbishment assets including plasterboard dry lining and plasterboard partitions, Ceilings, Soffits and Bulkheads, rigid sheet ceilings, rigid sheet linings.
The works include all plasterboard ceilings, bulkheads and demountable ceiling tiles including all support framework and trims. The ceiling systems shall include all connecting any bridging clips, nuts and bolts, Sub Grid as required.
Note: Dry lining / dry lined walls refers to all the forms of dry wall construction including shaft wall, independent walls, lining walls and fire encasements.",,"ST18 0AQ","West Midlands","45410000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,2651895,,,,,,,," ",
tender_467155/1409743,Pipeline,"Ministry of Defence",Open,2024-09-30T13:27:29+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 40011.01 Demolition","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Demolition of 3nr existing buildings.  All service isolations to the 3No. buildings to be demolished.  Making good to the existing link building to be retained, including any temporary weathering required.  Include for interface with bats to roof spaces i.e. piecemeal and scaffold access required.",,"ST18 0AQ","West Midlands","45111100 ",,aeryn.carpenter@lendlease.com,"endlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,178452,,,,,,,," ",
tender_467145/1409723,Pipeline,"Ministry of Defence",Open,2024-09-30T13:10:08+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 42171.01 Decorations","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Floor finishes, wall finishes, ceiling finishes to refurbishment assets and new build assets.",,"ST18 0AQ","West Midlands","45451000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,449876,,,,,,,," ",
tender_467132/1409699,Pipeline,"Ministry of Defence",Open,2024-09-30T12:20:09+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 45014.01 Commissioning Management","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Testing and commissioning of specialist electrical/ electronic installations and builder's work in connection with services in new build and refurbishment buildings prior to handover to the client.",,"ST18 0AQ","West Midlands","71315210 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,632559,,,,,,,," ",
tender_467121/1409676,Pipeline,"Ministry of Defence",Open,2024-09-30T11:53:40+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 42057.01 Carpentry and Joinery","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Construction of internal walls and partitions to also include cubicles and showering facilities.
Provision and installation of internal doors, fire doors and door signage.
Internal tiling and splash backs to new build and refurbished assets.
Provision and installation general fittings, furnishings and equipment including but not limited to shelving, lockers, benches to locker rooms and showers, blinds/screening to windows, COSHH cupboards, proprietary racking, Hand dryers, curtains and curtain tracks. 
Domestic kitchen fittings and equipment including but not limited to tea point base units and worktops, tea point wall units, kitchen appliances, microwaves and signs/notices.",,"ST18 0AQ","West Midlands","45422000 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,709731,,,,,,,," ",
tender_467111/1409656,Pipeline,"Ministry of Defence",Open,2024-09-30T11:36:48+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 43139.01 BWICS","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Builders works in connection with service diversions in preparation for new build assets (foundations etc) to existing and including the installation of new external drainage.",,"ST18 0AQ","West Midlands","45111290 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,1416118,,,,,,,," ",
tender_467103/1409638,Pipeline,"Ministry of Defence",Open,2024-09-30T11:20:09+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 41070.01 Brick and Blockwork","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Exterior brickwork skin to structural framing system on new build assets of various use.
Insulation and clips, Pointing and jointing, Movement joints
Weep holes, Cavity ties and associated fixings, Cavity closers, DPC and cavity trays, Lintels and supporting elements.
Construction of internal walls and partitions.",,"ST18 0AQ","West Midlands","45262500 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,3868004,,,,,,,," ",
tender_466852/1409620,Pipeline,"Ministry of Defence",Open,2024-09-30T10:58:21+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 40036.01 Asbestos Removal","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
The removal of asbestos in 11nr buildings prior to renovation works commencing and 3nr buildings prior to demolition works commencing. Findings from asbestos survey carried out on site to determine areas. Asbestos Management Plan to be produced. Contractor to be fully self-sufficient in terms of welfare, skips, weighted Heras fencing for excluding areas.",,"ST18 0AQ","Any region","45262660 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,"Minimum Compliance Requirements
Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,100000,,,,,,,," ",
tender_466848/1409594,Pipeline,"Ministry of Defence",Open,2024-09-30T10:39:20+01:00,"Supply Chain Notice: DEOP Beacon Barracks - 42012.01 Architectural & Sundry Metalwork","Work packages for the construction delivery services at Beacon Barracks for the Defence Estate Optimisation Portfolio. Lendlease are delivering works at Beacon Barracks on behalf of the Defence Infrastructure Organisation involving the reconfiguration and refurbishment of existing infrastructure and construction of new infrastructure to provide the MOD with improved Live/Work/Train requirements.
High-level Scope of works:
Manufacture and installation of balustrades and handrails to stairs/ramps.
Provision and installation of roof covering canopies.",,"ST18 0AQ","Any region","45262670 ",,aeryn.carpenter@lendlease.com,"Lendlease, Orega, The Colmore Building, 20 Colmore Circus Queensway,",,Birmingham,"B4 6AT",England,,,,,":  Minimum Compliance Requirements

Description 1: Lendlease Financial Performance and Accreditation requirements, Lendlease Global Minimum Requirements, Building Information Modelling requirements, BPSS",27/10/2025,23/08/2027,01/01/1,NO,,Yes,No,No,,1524029,,,,,,,," ",
tender_398112/1399407,Contract,"Leidos Supply",Open,2024-09-03T17:04:37+01:00,"The Supply of Flight Deck Helmets & Protective Head Pads","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos'). This requirement is subject to the Public Procurement Regulations and respective advertising action. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Flight Deck Helmets & Protective Head Pads on behalf of the UK MOD, consisting of 1 Lot(s):
Lot 1:
- The Supply of Flight Deck Helmets & Protective Head Pads

The total estimated value for this contract will be between £316,000 and £790,000, with a total contract length of 4 Years.

If this is of further interest, please register on our eProcurement system, Jaggaer:
https://leidos-supply.app.jaggaer.com

Bidders will be able to register on the system, and once registered they can express their interest and complete their bid on there. Should Bidders have any queries regarding the system, please contact the support team on the front page of the Jaggaer website, where it says 'Need assistance?', for help. Any queries regarding the tender itself, as opposed to the system, should be directed through Jaggaer&apos;s messaging centre.",,,"Any region","18444110 ",,megan.cook@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58691,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it is inviting tenders for its supply and delivery of Flight Deck Helmets & Protective Head Pads. Leidos Supply Ltd is a wholly owned subsidiary of Leidos Europe Ltd, is undertaking this procurement as a subcontractor to Leidos Europe Ltd to meet a requirement of the UK Ministry of Defence pursuant to the logistics commodities and services transformation delivery partner contract (LCS(T)/0001 dated16.4.2015) between Leidos Europe Ltd and the UK Ministry of Defence. 

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd.",19/05/2025,18/05/2029,18/02/2025,YES,tender_398112/1287816,Yes,No,No,Products,316000,790000,,,,,,,"OpenOJEU ",,12:00
tender_399566/1399204,Contract,"Leidos Supply",Open,2024-08-29T16:03:03+01:00,"The Supply of Army No.1 Dress","Team Leidos are proud to be delivering the logistics commodities and services transformation (LCS(T)) Delivery partner contracts (LCS (T)/0001 dated 16.4.2015) on behalf of the UK Ministry of Defence (the 'Prime Contract'). Delivery of other parts of the LCS(T) contract are delivered by Leidos Europe Ltd (LEL) and other partners (together 'Team Leidos'). This requirement is subject to the Public Procurement Regulations and respective advertising action. 

The Defence Clothing Team, which forms part of Leidos Supply Ltd is considering the potential requirement for the supply of Army No.1 Dress on behalf of the UK MOD, consisting of 1 Lot:
Lot 1:
- The Supply of Army No.1 Dress

The total estimated value for this contract will be between £1,500,000 - £4,000,000, with a total contract length of 4 Years.

If this is of further interest, please register on our eProcurement system, Jaggaer:
https://leidos-supply.app.jaggaer.com

Bidders will be able to register on the system, and once registered they can express their interest and complete their bid on there. Should Bidders have any queries regarding the system, please contact the support team on the front page of the Jaggaer website, where it says 'Need assistance?', for help. Any queries regarding the tender itself, as opposed to the system, should be directed through Jaggaer&apos;s messaging centre.",,,"Any region","35811300 ","Olivia Carroll",olivia.carroll@uk.leidos.com,"8 Monarch Court, The Brooms, Emerson Green",,Bristol,"BS16 7FH",England,,https://leidos-supply.app.jaggaer.com/esop/guest/go/opportunity/detail?opportunityId=58669,,,"In April 2015 the MOD signed a thirteen year contract with Leidos Europe Ltd to provide the procurement and inventory management of commodity items (as well as the storage and distribution services) historically provided in-house by the Logistic Commodities and Services Operating Centre. Leidos, working with the MOD, will transform the way these services are delivered to ensure requirements continue to be met whilst providing best value for money for the department. The organisation delivering these services is known as Team Leidos. Team Leidos would like to make interested suppliers aware that it is inviting tenders for its supply and delivery of The Army No.1 Dress. Leidos Supply Ltd is a wholly owned subsidiary of Leidos Europe Ltd, is undertaking this procurement as a subcontractor to Leidos Europe Ltd to meet a requirement of the UK Ministry of Defence pursuant to the logistics commodities and services transformation delivery partner contract (LCS(T)/0001 dated16.4.2015) between Leidos Europe Ltd and the UK Ministry of Defence. 

Please note all information provided to organisations or individuals that respond to this notice should be treated as Confidential, and not shared further without express written permission from Leidos Supply Ltd.",08/09/2025,07/09/2029,25/02/2025,YES,tender_399566/1289888,Yes,No,No,Products,1500000,4000000,,,,,,,"OpenOJEU ",,15:00
